No,Effort,Vi,D,V,SprintSize,WorkDays,TeamSalary,ActualTime,ActualCost
1,156,4.2,0.687,2.7,10,22,230000,63,1200000
2,202,3.7,0.701,2.5,10,21,260000,92,1600000
3,173,4,0.878,3.2,10,22,250000,56,1000000
4,331,4.5,0.886,3.8,10,22,300000,86,2100000
5,124,4.9,0.903,4.2,10,22,300000,32,750000
6,339,4.1,0.903,3.6,10,22,400000,91,3200000
7,97,4.2,0.859,3.4,10,22,250000,35,600000
8,257,3.8,0.833,3,10,22,250000,93,1800000
9,84,3.9,0.646,2.4,10,22,190000,36,500000
10,211,4.6,0.758,3.2,10,22,250000,62,1200000
11,131,4.6,0.758,3.2,10,22,250000,45,800000
12,112,3.9,0.773,2.9,10,22,200000,37,650000
13,101,3.9,0.773,2.9,10,22,200000,32,600000
14,74,3.9,0.773,2.9,10,22,200000,30,400000
15,62,3.9,0.773,2.9,10,22,200000,21,350000
16,289,4,0.742,2.8,10,22,250000,112,2000000
17,113,4,0.742,2.8,10,22,250000,39,800000
18,141,4,0.742,2.8,10,22,250000,52,1000000
19,213,4,0.742,2.8,10,22,250000,80,1500000
20,137,3.7,0.758,2.7,10,22,220000,56,800000
21,91,3.7,0.758,2.7,10,22,220000,35,550000